Timecode List:,00:00:00.641,00:00:01.362,00:00:03.084,00:00:04.445,00:00:05.566,00:00:06.367,00:00:08.370,00:00:10.372,00:00:11.093,00:00:20.383,00:01:18.529,00:01:19.731,00:01:20.412,00:01:21.293,00:01:21.973,00:01:22.574,00:01:23.375,00:01:28.541,00:01:31.544,00:02:02.740,00:02:28.449,00:03:02.007,00:04:19.616,00:04:43.202,00:05:19.724,00:05:53.442,00:06:11.943,00:07:01.240,00:07:55.862,00:08:39.832,00:09:12.269,00:10:00.604,00:10:27.074,00:10:58.910,00:11:13.166
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,16,00:00:00.641,0.641,16,00:00:00.641,0.641
2,17,00:00:00.641,0.641,34,00:00:01.362,1.362,18,00:00:00.721,0.721
3,35,00:00:01.362,1.362,77,00:00:03.084,3.084,43,00:00:01.722,1.722
4,78,00:00:03.084,3.084,111,00:00:04.445,4.445,34,00:00:01.362,1.362
5,112,00:00:04.445,4.445,139,00:00:05.566,5.566,28,00:00:01.121,1.121
6,140,00:00:05.566,5.566,159,00:00:06.367,6.367,20,00:00:00.801,0.801
7,160,00:00:06.367,6.367,209,00:00:08.370,8.370,50,00:00:02.002,2.002
8,210,00:00:08.370,8.370,259,00:00:10.372,10.372,50,00:00:02.002,2.002
9,260,00:00:10.372,10.372,277,00:00:11.093,11.093,18,00:00:00.721,0.721
10,278,00:00:11.093,11.093,509,00:00:20.383,20.383,232,00:00:09.291,9.291
11,510,00:00:20.383,20.383,1961,00:01:18.529,78.529,1452,00:00:58.146,58.146
12,1962,00:01:18.529,78.529,1991,00:01:19.731,79.731,30,00:00:01.201,1.201
13,1992,00:01:19.731,79.731,2008,00:01:20.412,80.412,17,00:00:00.681,0.681
14,2009,00:01:20.412,80.412,2030,00:01:21.293,81.293,22,00:00:00.881,0.881
15,2031,00:01:21.293,81.293,2047,00:01:21.973,81.973,17,00:00:00.681,0.681
16,2048,00:01:21.973,81.973,2062,00:01:22.574,82.574,15,00:00:00.601,0.601
17,2063,00:01:22.574,82.574,2082,00:01:23.375,83.375,20,00:00:00.801,0.801
18,2083,00:01:23.375,83.375,2211,00:01:28.541,88.541,129,00:00:05.166,5.166
19,2212,00:01:28.541,88.541,2286,00:01:31.544,91.544,75,00:00:03.003,3.003
20,2287,00:01:31.544,91.544,3065,00:02:02.740,122.740,779,00:00:31.196,31.196
21,3066,00:02:02.740,122.740,3707,00:02:28.449,148.449,642,00:00:25.709,25.709
22,3708,00:02:28.449,148.449,4545,00:03:02.007,182.007,838,00:00:33.558,33.558
23,4546,00:03:02.007,182.007,6483,00:04:19.616,259.616,1938,00:01:17.608,77.608
24,6484,00:04:19.616,259.616,7072,00:04:43.202,283.202,589,00:00:23.587,23.587
25,7073,00:04:43.202,283.202,7984,00:05:19.724,319.724,912,00:00:36.522,36.522
26,7985,00:05:19.724,319.724,8826,00:05:53.442,353.442,842,00:00:33.718,33.718
27,8827,00:05:53.442,353.442,9288,00:06:11.943,371.943,462,00:00:18.501,18.501
28,9289,00:06:11.943,371.943,10519,00:07:01.240,421.240,1231,00:00:49.296,49.296
29,10520,00:07:01.240,421.240,11883,00:07:55.862,475.862,1364,00:00:54.622,54.622
30,11884,00:07:55.862,475.862,12981,00:08:39.832,519.832,1098,00:00:43.970,43.970
31,12982,00:08:39.832,519.832,13791,00:09:12.269,552.269,810,00:00:32.437,32.437
32,13792,00:09:12.269,552.269,14998,00:10:00.604,600.604,1207,00:00:48.335,48.335
33,14999,00:10:00.604,600.604,15659,00:10:27.074,627.074,661,00:00:26.470,26.470
34,15660,00:10:27.074,627.074,16454,00:10:58.910,658.910,795,00:00:31.836,31.836
35,16455,00:10:58.910,658.910,16810,00:11:13.166,673.166,356,00:00:14.256,14.256
36,16811,00:11:13.166,673.166,17756,00:11:51.050,711.050,946,00:00:37.883,37.883
